timestamp_ms,p0_n,p1_n,p2_n,p3_n,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_dps,gyro_y_dps,gyro_z_dps,temp_c
0,79.26,22.05,3.71,0.68,69.9,145.9,988.2,4.13,27.37,1.19,28.59
20,70.62,38.68,16.7,1.55,54.1,75.1,948.0,4.4,17.14,2.48,28.74
40,53.67,44.44,17.56,1.13,54.7,145.6,899.6,20.21,10.12,5.42,28.31
60,36.89,52.31,28.96,0,36.8,43.9,877.6,18.05,13.07,3.34,29.29
80,20.5,56.7,41.02,1.11,-37.5,86.5,859.6,22.64,19.79,-0.35,29.14
100,7.66,57.94,58.26,2.34,47.5,34.5,829.6,25.1,-2.78,-1.3,29.54
120,3.6,45.55,71.0,0,18.0,40.9,831.4,34.27,1.81,-1.01,29.78
140,0,30.99,84.74,2.39,163.0,-135.9,825.5,31.69,3.48,-1.65,30.04
160,0.12,27.11,87.04,4.86,130.7,-70.1,827.5,33.04,-2.92,-3.61,30.54
180,0,13.33,88.12,23.45,7.1,-42.5,853.5,33.87,-19.84,-3.57,30.69
200,0,0.38,74.34,28.94,109.0,-61.1,858.4,20.94,-10.58,-3.98,30.71
220,2.29,2.93,59.89,43.96,31.4,-74.1,867.4,17.27,-15.58,-6.17,31.17
240,0.03,3.65,49.46,62.03,74.3,-152.8,945.4,10.37,-18.56,-1.74,31.0
260,0,1.47,31.33,63.83,38.3,-64.6,937.6,1.57,-22.55,-2.19,31.28
280,0,2.47,21.31,63.58,-73.5,-191.1,950.3,-0.59,-12.53,1.9,30.65
300,0.47,0.58,11.01,56.1,-10.8,-50.4,1016.6,-9.14,-20.94,3.48,30.87
320,0,0,10.32,49.32,-119.8,-161.5,1017.6,-18.83,-14.94,8.19,30.53
340,0,0,0,32.96,-85.0,-55.6,998.3,-19.18,-8.35,3.37,30.77
360,0,0,1.12,19.78,-136.8,-122.3,966.4,-28.21,-12.25,5.86,30.47
380,2.42,1.9,0.18,13.72,-24.9,-11.8,990.4,-24.81,-3.93,4.16,30.65
400,0,0,0,9.56,-91.1,21.5,1026.0,-32.25,-2.73,1.03,30.22
420,0.72,0,0,5.69,-113.9,91.9,972.8,-31.72,-3.14,-2.47,30.19
440,7.81,4.46,1.46,1.36,-178.7,-7.3,997.6,-31.46,9.66,-4.03,29.83
460,0,1.76,0.18,7.06,-122.5,36.6,1039.5,-21.69,6.1,-5.42,29.39
480,3.69,2.14,1.45,4.1,-62.1,65.0,986.4,-23.85,6.26,-5.39,29.6
500,0.71,0,0,2.34,-77.9,115.2,1003.4,-12.61,14.29,-3.07,28.73
520,3.97,0,2.57,1.37,-61.9,187.2,1020.4,-12.52,25.13,-2.67,28.56
540,2.85,2.82,4.94,0,-17.6,202.7,992.1,-0.62,24.64,-1.42,28.16
560,71.33,30.92,10.27,0,-27.0,141.4,994.0,3.5,16.65,1.57,28.12
580,60.04,44.21,15.46,4.16,4.3,73.3,901.8,8.45,14.37,3.12,28.58
600,41.18,52.65,26.73,2.95,14.6,83.5,906.5,20.65,10.11,4.8,28.97
620,13.93,56.98,39.41,2.94,-6.4,97.6,883.3,18.7,18.77,7.39,29.85
640,10.41,55.32,51.11,0,110.9,-35.4,810.7,25.9,10.37,4.49,29.56
660,0.63,53.51,66.38,6.2,74.7,40.5,830.6,27.7,11.51,2.17,29.75
680,0,35.41,78.71,3.71,80.8,45.0,820.0,26.05,7.17,2.78,30.31
700,3.06,24.55,89.69,9.93,38.1,1.8,772.1,27.21,-1.01,-3.05,29.93
720,0,18.33,85.87,15.75,157.3,-14.4,804.1,29.26,-7.85,-2.67,30.42
740,3.47,11.56,80.28,26.32,106.7,-21.5,843.0,26.22,-15.44,-3.24,30.75
760,0.26,2.19,70.25,36.95,117.2,-98.6,854.2,18.08,-13.09,-6.24,31.0
780,0.88,0.01,47.93,57.11,-44.0,-241.0,932.9,9.27,-12.42,-5.79,30.87
800,3.36,3.79,36.24,65.13,-1.8,-209.8,1021.9,6.11,-16.59,-2.02,31.2
820,0,1.81,25.51,65.42,7.0,-185.5,1036.3,-0.44,-17.97,1.24,31.04
840,0.76,6.4,16.15,59.84,-15.8,-144.7,1008.6,-7.58,-17.19,2.04,30.96
860,0,0,8.09,42.78,-171.3,-144.0,999.6,-14.49,-14.25,4.77,31.19
880,0,3.82,1.11,36.92,-41.3,-88.9,996.5,-20.59,-10.07,3.59,31.09
900,0.41,0,1.49,17.48,-141.2,-140.5,997.8,-26.19,-8.53,1.35,30.57
920,0.65,0.18,5.34,11.66,-178.3,-38.8,998.4,-28.64,-5.84,0.05,30.24
940,4.34,0,2.8,10.34,-183.2,-85.6,1015.7,-25.25,-2.53,0.16,30.44
960,0,0,0,3.02,-120.9,15.7,995.9,-31.96,0.28,1.17,30.08
980,5.3,3.82,0,0,22.2,112.0,970.5,-26.5,3.74,-2.29,29.92
1000,0.22,6.08,0,1.97,-117.7,144.8,1022.1,-29.35,19.44,-5.13,29.32
1020,0,5.28,0,1.35,-74.5,142.2,968.6,-20.46,17.41,-7.12,29.37
1040,6.26,0,0,0,29.4,85.2,1049.2,-17.76,15.88,-7.35,28.66
1060,0,2.95,0,0,-38.6,137.9,1018.5,-8.27,15.83,-4.96,28.64
1080,0,0,1.28,0,-22.5,189.0,1031.0,-2.53,17.67,-2.08,28.34
1100,74.91,28.0,8.72,0,86.4,151.2,966.2,7.03,24.22,2.07,28.36
1120,66.67,38.41,13.54,0,123.0,181.6,930.2,8.44,10.07,3.81,28.15
1140,44.36,47.45,17.88,0,12.1,51.2,863.2,17.55,22.34,4.64,28.85
1160,21.97,61.4,33.28,0,137.1,100.4,833.8,20.46,12.75,6.29,29.53
1180,14.15,60.34,49.03,0.12,96.6,47.4,796.6,25.48,13.76,-0.24,29.34
1200,3.35,55.08,66.36,5.85,221.1,42.9,834.3,29.09,-0.61,3.72,29.72
1220,0.01,40.95,76.28,1.83,50.8,66.5,797.6,29.02,1.98,-1.68,30.28
1240,0,30.65,85.16,1.94,122.5,-97.5,855.3,23.05,0.29,-1.54,30.04
1260,0,21.33,91.68,14.19,24.9,-93.9,796.6,29.47,-9.05,-4.56,30.15
1280,0.16,11.82,77.34,26.21,91.2,-33.6,800.9,21.49,-8.93,-5.98,30.49
1300,0,0.32,66.91,38.78,55.3,-14.6,856.5,19.67,-11.31,-0.98,30.96
1320,0,2.43,54.48,47.17,73.3,-89.2,869.3,17.39,-18.63,-3.72,31.15
1340,0,4.91,43.93,59.54,96.4,-154.4,965.4,6.28,-10.49,-3.92,30.99
1360,0,0,25.24,65.73,116.3,-181.9,1009.3,11.01,-20.79,-2.0,30.84
1380,0,1.61,12.25,67.67,-70.8,-147.2,971.9,-6.28,-24.02,1.92,30.99
1400,0.88,1.32,10.71,60.74,-117.5,-186.5,972.0,-10.07,-16.09,3.57,30.73
1420,6.7,3.7,9.72,39.05,-78.2,-166.5,987.6,-14.9,-13.32,7.57,31.2
1440,1.02,4.19,2.88,30.8,-133.8,-90.5,974.2,-20.05,-14.54,3.07,30.56
1460,0,0,1.54,17.54,-177.5,-77.2,992.7,-29.82,-8.3,7.25,30.76
1480,0,0,3.92,5.04,-15.0,-20.4,984.1,-31.22,-6.8,0.88,30.21
1500,1.29,2.25,3.83,3.65,-88.1,-51.2,1040.4,-31.62,3.82,1.44,30.23
1520,1.39,3.43,1.37,0,-139.6,27.4,1036.3,-27.09,6.73,-1.58,29.88
1540,3.07,6.06,0.71,0,33.5,-12.4,1001.9,-22.63,5.42,-4.14,29.33
1560,0,3.24,0,0,-60.0,176.9,966.5,-21.41,24.22,-8.46,29.11
1580,0.2,1.95,0.93,4.47,-65.6,132.8,1018.1,-17.14,10.75,-5.44,29.04
1600,0,0,0,0.55,-43.4,241.8,1006.8,-15.32,18.02,-2.65,28.47
1620,0,0,3.49,3.09,-25.1,102.6,1002.5,-12.3,20.95,-1.23,28.57
