timestamp_ms,p0_n,p1_n,p2_n,p3_n,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_dps,gyro_y_dps,gyro_z_dps,temp_c
0,79.03,23.96,8.52,2.12,-8.4,200.5,968.1,-0.25,25.95,-2.67,27.97
20,71.75,33.31,16.65,3.87,55.8,91.0,943.9,8.55,18.53,1.52,28.68
40,58.4,47.47,15.11,0,30.9,91.1,967.3,8.07,11.94,5.46,28.74
60,25.91,53.12,29.96,0,66.4,54.1,870.7,12.12,9.55,5.84,29.26
80,10.48,60.23,41.33,0,65.5,59.1,842.1,17.82,8.13,6.25,29.28
100,0.33,51.27,60.39,0,45.3,31.9,829.0,19.51,-3.44,4.46,29.79
120,0,44.77,79.25,1.88,169.6,-15.7,732.2,15.61,6.33,1.47,30.1
140,0,27.22,80.5,8.38,36.7,10.7,739.1,26.68,-5.89,0.37,30.52
160,2.5,24.38,88.11,15.97,93.6,-71.8,799.4,14.73,-16.86,-1.74,30.7
180,0,12.91,79.45,19.27,158.6,-78.8,825.8,12.79,-10.42,-5.71,30.4
200,0,4.95,67.38,35.99,101.1,-5.8,897.3,11.12,-14.96,-7.38,30.88
220,2.07,5.23,57.27,49.8,118.9,-112.0,850.9,11.14,-18.7,-3.91,31.4
240,4.05,1.36,36.36,65.83,48.7,-266.7,921.7,7.73,-24.34,-1.69,30.9
260,0,3.06,27.4,70.75,12.2,-220.0,1005.1,2.22,-21.98,-3.45,31.05
280,0,0.79,11.63,66.71,58.4,-117.0,1005.9,-3.93,-17.57,3.43,31.0
300,0,2.51,7.69,49.28,-42.2,-143.1,1017.0,-6.1,-14.1,3.44,31.28
320,1.29,0.19,0,35.23,-143.6,-89.1,954.2,-18.47,-9.54,4.39,31.06
340,0,0,0,17.48,-77.7,-28.5,979.8,-10.3,-9.93,5.57,30.5
360,4.02,1.69,0,17.54,-136.7,-71.8,997.3,-15.22,-18.05,4.34,30.76
380,0.32,0,4.6,7.94,-95.7,-37.4,982.7,-23.02,1.15,2.65,30.24
400,4.49,2.92,0,0.53,-251.9,-25.0,990.8,-23.35,5.27,-1.8,30.19
420,0,4.44,0,2.1,-117.8,57.4,1028.1,-18.75,3.27,-6.29,30.08
440,1.37,1.4,1.36,0,-65.1,22.6,999.8,-17.73,10.02,-2.4,29.71
460,0,0,0,0.21,-91.5,115.1,1000.2,-14.2,7.96,-4.67,29.33
480,0,1.55,4.4,0,-72.2,107.0,1003.3,-11.18,22.27,-0.63,28.74
500,1.69,0,0,0,-72.3,140.6,1013.6,-5.57,23.94,-0.75,28.46
520,0,0.84,0,1.65,91.9,220.1,971.3,-1.44,18.22,-0.22,28.24
540,71.96,34.34,13.55,4.02,-28.3,158.2,1009.6,5.33,18.89,3.34,28.42
560,57.18,47.22,20.37,1.23,75.4,115.1,926.0,10.35,13.48,5.52,28.69
580,27.09,52.7,31.16,0,-3.4,162.2,884.4,14.95,23.3,4.51,29.02
600,19.42,61.7,45.12,0,81.8,113.3,813.6,19.03,11.76,-1.76,29.56
620,10.62,55.63,63.86,1.43,144.0,73.2,816.0,13.71,15.33,4.56,29.87
640,0,47.51,68.47,2.34,90.3,91.1,809.0,21.1,4.91,0.58,30.06
660,4.22,38.39,83.4,2.64,157.7,-7.9,780.8,14.47,0.25,-4.19,30.46
680,2.18,20.75,85.94,13.71,178.2,-7.9,749.1,19.74,-10.69,-5.91,30.69
700,0,11.49,79.8,26.17,39.4,-90.5,775.1,16.87,-6.89,-4.24,30.39
720,0.07,6.28,67.77,32.77,117.4,-127.4,862.5,15.35,-15.72,-6.18,31.0
740,5.3,2.95,51.93,47.9,71.3,-168.1,893.1,11.49,-15.34,-4.29,31.11
760,0,0.39,39.35,62.94,49.2,-204.1,970.6,0.48,-18.39,-0.64,31.0
780,0,3.27,29.67,68.49,42.7,-114.9,961.1,1.51,-22.31,1.95,30.92
800,0,3.69,16.02,66.51,101.0,-161.0,1043.4,-3.66,-15.33,8.13,30.95
820,0,0,4.56,53.25,-28.5,-147.7,1013.7,-11.65,-14.36,4.44,31.25
840,0,0.09,0.91,41.3,20.9,-126.5,1039.0,-7.19,-3.58,6.38,30.59
860,0,0,0,23.22,-43.7,-84.9,964.3,-21.56,-17.91,5.64,30.61
880,0.11,0.77,0,20.89,54.5,-89.4,1008.4,-11.99,-4.83,6.04,30.55
900,1.9,0,1.58,6.54,-110.9,-133.1,1036.3,-19.62,4.48,1.04,29.94
920,0,0,0,5.73,-134.3,-6.7,1008.4,-21.36,1.62,-3.46,29.96
940,3.81,0.9,0,3.18,-147.9,75.5,993.3,-19.74,13.0,-5.5,29.66
960,1.29,4.1,0.13,1.97,-32.8,90.8,988.3,-13.76,17.6,-4.64,29.41
980,0,0.16,2.51,0,-111.3,132.4,980.6,-15.33,12.22,-0.9,29.03
1000,0,2.12,0.21,1.05,28.5,89.1,1019.0,-1.86,23.75,-1.8,28.46
1020,0.15,0,3.17,0,37.3,105.4,995.2,-5.97,16.09,-2.28,28.8
1040,0,3.85,0,1.0,-11.1,150.0,1021.6,-1.13,13.5,-2.74,28.14
1060,72.78,34.36,12.29,0,-66.8,136.0,936.6,2.04,21.68,4.85,28.14
1080,57.95,39.98,23.16,2.63,77.4,104.8,915.0,3.54,21.41,3.95,28.7
1100,33.95,48.18,29.25,0,128.8,82.5,844.8,12.62,14.88,5.57,29.21
1120,23.32,60.84,43.76,0.16,127.4,81.8,830.0,13.92,11.48,4.77,29.07
1140,7.4,58.31,53.98,3.55,89.4,36.6,778.6,17.65,2.58,3.22,29.37
1160,0,43.6,70.15,0,9.3,55.3,851.5,24.49,5.96,-1.93,29.45
1180,0,34.19,81.07,2.94,63.3,-58.6,815.2,16.37,-0.19,1.25,29.93
1200,0.74,21.47,87.4,9.44,96.4,-1.6,783.6,17.93,0.07,-2.27,30.64
1220,2.52,15.91,80.7,22.23,4.3,-63.4,816.9,14.54,-15.85,-2.81,30.95
1240,4.24,7.74,73.98,36.52,-26.1,-24.9,797.3,16.67,-11.09,-4.71,30.88
1260,0,0,56.36,45.07,142.4,-198.2,919.8,11.45,-14.48,-3.16,30.59
1280,0.93,0,44.68,61.07,48.7,-112.5,932.8,4.82,-17.07,-3.59,30.98
1300,0,0,29.55,63.1,62.9,-73.2,988.5,-0.38,-23.74,-5.85,31.03
1320,2.11,0,20.89,64.0,-2.6,-98.4,988.6,-2.39,-19.52,0.51,30.63
1340,0,2.04,10.11,57.29,-46.3,-115.3,1041.2,-10.85,-15.78,5.82,30.82
1360,0,3.56,7.09,39.95,43.3,-76.5,1038.7,-12.04,-15.73,4.05,31.32
1380,0.39,2.3,2.33,25.84,-65.1,-72.8,1010.5,-14.59,-17.66,5.22,30.95
1400,0.94,0,1.07,16.67,-84.2,-153.9,1025.4,-22.17,-4.03,5.08,30.62
1420,0,4.23,0,8.58,-19.8,-42.1,1035.6,-23.72,-8.23,2.59,30.0
1440,3.56,0.93,1.0,0,-103.1,-46.7,1013.0,-20.86,2.41,-0.58,30.29
1460,0,2.91,2.23,1.06,-137.2,108.6,998.3,-18.94,2.35,-1.63,29.99
1480,0,0,1.22,0,-20.5,17.9,997.3,-20.59,12.49,-2.99,29.11
1500,3.23,0,2.1,2.68,-126.6,71.8,1017.0,-12.42,22.21,-4.6,28.99
1520,0.18,0,0,0.33,-26.1,15.3,967.1,-11.67,10.36,-4.56,28.95
1540,0.65,0,1.91,4.16,-59.7,66.2,1003.3,-5.0,23.94,-1.14,28.53
1560,0.9,0,0,0,-49.2,209.9,994.9,-0.46,32.95,-1.97,27.84
1580,70.68,27.6,8.48,0,46.8,96.4,950.5,1.85,15.6,-1.22,28.44
1600,55.89,40.59,15.21,3.93,-23.3,125.8,951.8,9.99,7.07,0.02,28.77
1620,34.32,55.38,24.85,0,-12.3,87.4,892.3,10.68,12.19,5.53,29.15
1640,22.63,52.05,39.78,0,88.8,72.5,782.8,17.96,19.13,3.56,29.15
1660,9.52,52.02,59.45,1.53,54.1,38.7,860.4,19.58,12.38,2.46,29.65
1680,3.52,44.18,71.39,0,106.9,81.3,826.1,19.15,6.87,1.56,30.22
1700,0,32.53,84.07,8.24,79.1,19.0,791.9,17.11,4.07,-1.58,30.02
1720,0,28.22,90.69,13.85,152.1,46.8,828.1,18.38,-8.94,-4.53,30.43
1740,0,11.11,81.09,23.77,162.9,-71.1,842.2,16.31,-11.82,-6.51,30.72
1760,4.01,4.82,79.43,31.51,58.6,-64.5,864.7,16.18,-21.08,-9.32,30.71
1780,2.49,0.84,56.57,51.95,60.3,-174.2,896.9,7.48,-6.09,-9.55,31.14
1800,0,1.22,43.77,62.81,-78.8,-131.4,901.6,8.14,-17.49,-2.97,31.12
1820,2.3,0,33.84,64.92,13.5,-139.3,959.8,2.83,-18.92,-1.53,31.06
1840,0,0.29,15.8,65.96,-11.6,-110.1,1036.3,1.88,-14.75,1.76,30.96
1860,3.99,1.31,7.91,62.67,-38.4,-9.2,995.8,-7.1,-19.98,0.68,30.82
1880,0,0,6.72,42.82,-138.4,-108.9,1027.0,-11.18,-13.39,2.27,30.56
1900,0,2.99,0,23.93,-48.6,-103.4,995.4,-11.06,-11.6,6.54,30.62
1920,2.04,0,3.28,18.8,-24.4,-147.5,1052.8,-14.59,-10.75,7.15,30.56
1940,3.69,4.26,0,12.8,-98.9,-30.3,1013.2,-24.21,-0.52,3.03,30.38
1960,3.72,1.41,0,2.95,-26.9,-71.0,1026.1,-19.79,8.39,0.07,30.39
1980,0,2.96,0.59,0,-116.1,46.0,988.6,-20.74,7.38,-5.17,29.91
2000,0,0,1.2,1.3,-74.9,141.4,1001.2,-20.61,1.32,-0.07,29.57
2020,0.26,0.84,3.85,0,-86.6,64.8,992.9,-13.96,15.43,-5.64,29.43
2040,0,0,0.94,0,-57.2,121.1,1016.6,-10.08,15.11,-4.9,29.1
2060,2.23,2.53,0,0,-4.5,279.7,942.1,0.5,13.69,-3.11,28.66
2080,0,0,1.72,0,-69.6,171.4,967.1,-5.98,17.76,-4.2,28.59
2100,72.63,32.46,11.38,0,45.8,82.9,992.5,0.08,20.01,0.09,28.15
2120,60.93,39.32,20.07,0,113.3,148.2,892.2,5.49,17.44,1.35,28.45
2140,36.71,55.93,28.45,3.57,35.8,129.0,887.1,5.11,16.7,10.7,29.26
2160,21.49,58.45,41.1,0,134.0,97.9,846.7,10.32,14.65,6.9,29.32
2180,8.77,53.31,50.88,0,91.9,146.0,842.4,16.18,9.54,5.02,29.59
2200,0,48.17,71.85,6.51,187.1,16.0,795.6,18.17,1.08,3.66,29.89
2220,0,38.04,83.09,11.44,50.3,51.5,838.6,20.4,-4.91,-5.13,30.08
2240,0,25.13,86.1,13.48,117.0,-136.4,843.6,10.68,-11.14,-5.77,30.31
2260,0,15.34,84.86,24.87,8.7,-47.6,817.2,22.42,-7.75,-2.62,30.48
2280,0,3.97,79.53,26.53,57.7,-127.5,827.2,11.11,-16.9,-3.01,30.25
2300,0,8.95,63.16,47.47,44.0,-170.2,866.6,8.81,-19.66,-6.76,30.95
2320,4.71,2.71,49.98,56.44,-9.4,-136.1,960.9,8.44,-27.69,-0.61,30.9
2340,0.8,1.96,32.88,69.14,32.9,-66.6,949.2,0.34,-15.74,-5.89,30.88
2360,0,1.64,14.28,68.15,-33.0,-170.1,1028.9,-2.08,-17.09,2.69,30.84
2380,0,2.48,11.64,56.0,-2.4,-130.6,1024.7,-8.14,-17.96,5.4,30.85
2400,0,0,0,42.68,-12.6,-162.0,921.4,-16.59,-11.72,2.61,31.05
