timestamp_ms,p0_n,p1_n,p2_n,p3_n,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_dps,gyro_y_dps,gyro_z_dps,temp_c
0,78.25,20.92,1.41,0,51.0,115.8,996.6,2.38,25.34,1.58,28.15
20,71.82,36.4,11.68,0,-19.7,137.8,909.3,18.53,19.72,-4.23,28.1
40,53.61,40.74,18.27,0,63.7,116.1,934.9,21.09,19.93,6.95,28.87
60,44.43,54.62,19.06,1.92,4.9,75.1,858.7,31.59,12.8,9.2,29.07
80,19.36,60.15,36.59,0,65.6,78.5,885.7,47.58,12.52,6.22,29.92
100,7.47,55.07,53.19,0,114.5,8.8,888.6,53.41,9.09,3.64,29.67
120,3.43,48.23,69.93,0,60.6,49.8,825.5,56.28,15.35,2.16,29.91
140,1.3,42.7,77.82,4.45,148.0,-27.8,805.7,57.04,6.93,-1.28,29.95
160,0,27.63,85.29,0.65,72.4,-121.9,780.9,62.18,-4.99,-1.5,30.57
180,0,16.96,74.68,11.77,165.9,-92.5,827.3,51.56,-10.53,-4.38,30.45
200,2.8,8.44,75.94,26.79,116.6,-18.4,868.4,48.58,-12.06,-1.51,30.69
220,3.92,4.25,67.66,35.22,119.1,-69.7,855.3,44.49,-12.22,-7.69,31.06
240,0,8.83,55.49,52.05,20.8,-144.2,913.7,28.42,-12.87,-7.85,31.11
260,0,0,38.59,57.78,83.4,-172.8,953.6,19.24,-22.48,-3.27,30.92
280,0,0,27.71,66.37,71.4,-139.1,982.8,5.42,-21.94,-4.34,31.13
300,0.71,0,16.49,65.75,-24.7,-131.9,983.3,-10.12,-18.85,1.34,31.14
320,3.0,1.61,10.21,56.87,30.5,-153.3,992.4,-21.1,-18.28,1.24,30.92
340,0,0,6.79,42.55,-76.5,-175.6,1000.8,-31.74,-18.41,5.72,30.93
360,0,1.04,1.6,32.57,12.0,-90.6,1048.8,-37.59,-16.89,4.1,30.8
380,0,1.4,0.78,19.85,-68.0,-71.7,975.4,-50.52,-9.5,0.02,30.45
400,0,0,3.1,9.55,13.6,14.1,977.2,-56.04,-7.32,2.02,30.76
